transaction_datetime,account_created_date,birth_date,amount,category,transaction_datetime_year,transaction_datetime_month,transaction_datetime_day,transaction_datetime_dayofweek,transaction_datetime_dayofyear,transaction_datetime_hour,transaction_datetime_minute,transaction_datetime_quarter,transaction_datetime_is_weekend,transaction_datetime_is_month_start,transaction_datetime_is_month_end,transaction_datetime_is_quarter_start,transaction_datetime_is_quarter_end,transaction_datetime_day_name,transaction_datetime_month_name,transaction_datetime_week_of_year,transaction_datetime_hour_sin,transaction_datetime_hour_cos,transaction_datetime_month_sin,transaction_datetime_month_cos,transaction_datetime_dayofweek_sin,transaction_datetime_dayofweek_cos,account_age_days,account_age_weeks,account_age_months,age_years,age_group,transaction_datetime_days_since,transaction_datetime_weeks_since,transaction_datetime_months_since,transaction_datetime_years_since,is_business_hours,time_of_day,season,is_holiday_season,is_business_day
2023-03-29 07:10:00,2022-07-16,1990-10-10,83.7328684591651,Clothing,2023,3,29,2,88,7,10,1,0,0,0,0,0,Wednesday,March,13,0.9659258262890683,-0.25881904510252085,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,256,36,8,34,26-35,642,91,21,1,0,Morning,Winter,0,1
2024-01-08 08:36:00,2021-09-09,1991-11-02,124.6958230807866,Books,2024,1,8,0,8,8,36,1,0,0,0,0,0,Monday,January,2,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0.0,1.0,851,121,27,33,26-35,357,51,11,0,0,Morning,Winter,0,1
2023-04-10 13:59:00,2020-10-22,1968-01-11,140.49572731095938,Electronics,2023,4,10,0,100,13,59,2,0,0,0,0,0,Monday,April,15,-0.25881904510252035,-0.9659258262890684,0.8660254037844387,-0.4999999999999998,0.0,1.0,900,128,29,56,56-65,630,90,20,1,1,Afternoon,Spring,0,1
2024-10-25 02:20:00,2023-08-18,1991-10-22,104.65899524447319,Clothing,2024,10,25,4,299,2,20,4,0,0,0,0,0,Friday,October,43,0.49999999999999994,0.8660254037844387,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,434,62,14,33,26-35,66,9,2,0,0,Night,Fall,0,1
2023-05-11 04:04:00,2022-09-22,1976-04-16,44.96826081158251,Clothing,2023,5,11,3,131,4,4,2,0,0,0,0,0,Thursday,May,19,0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,231,33,7,48,46-55,599,85,19,1,0,Night,Spring,0,1
2024-10-23 18:58:00,2024-08-17,1984-11-21,120.4355695037234,Electronics,2024,10,23,2,297,18,58,4,0,0,0,0,0,Wednesday,October,43,-1.0,-1.8369701987210297e-16,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,67,9,2,40,36-45,68,9,2,0,0,Afternoon,Fall,0,1
2023-11-05 13:25:00,2021-03-09,1996-06-17,195.06057812990593,Books,2023,11,5,6,309,13,25,4,1,0,0,0,0,Sunday,November,44,-0.25881904510252035,-0.9659258262890684,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,971,138,31,28,26-35,421,60,13,1,1,Afternoon,Fall,1,0
2023-12-10 03:24:00,2023-05-07,1960-09-19,207.31289259583508,Food,2023,12,10,6,344,3,24,4,1,0,0,0,0,Sunday,December,49,0.7071067811865476,0.7071067811865476,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,217,31,7,64,56-65,386,55,12,1,0,Night,Fall,1,0
2024-05-06 12:41:00,2021-09-09,1995-01-09,125.87022189692935,Food,2024,5,6,0,127,12,41,2,0,0,0,0,0,Monday,May,19,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.0,1.0,970,138,31,29,26-35,238,34,7,0,1,Morning,Spring,0,1
2024-02-18 17:39:00,2021-03-12,1983-02-08,153.63639335003677,Clothing,2024,2,18,6,49,17,39,1,1,0,0,0,0,Sunday,February,7,-0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1073,153,35,41,36-45,316,45,10,0,1,Afternoon,Winter,0,0
2024-01-21 07:38:00,2023-03-25,1974-07-27,182.48888313057336,Food,2024,1,21,6,21,7,38,1,1,0,0,0,0,Sunday,January,3,0.9659258262890683,-0.25881904510252085,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,302,43,9,50,46-55,344,49,11,0,0,Morning,Winter,0,0
2023-07-11 07:13:00,2021-11-06,1965-01-15,126.94419162449907,Food,2023,7,11,1,192,7,13,3,0,0,0,0,0,Tuesday,July,28,0.9659258262890683,-0.25881904510252085,-0.5000000000000001,-0.8660254037844386,0.7818314824680298,0.6234898018587336,612,87,20,59,56-65,538,76,17,1,0,Morning,Summer,0,1
2023-10-04 18:37:00,2022-04-07,1982-10-07,67.73731669466005,Electronics,2023,10,4,2,277,18,37,4,0,0,0,0,0,Wednesday,October,40,-1.0,-1.8369701987210297e-16,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,545,77,17,42,36-45,453,64,14,1,0,Afternoon,Fall,0,1
2023-06-10 00:22:00,2021-12-02,1976-02-27,189.42885031553254,Clothing,2023,6,10,5,161,0,22,2,1,0,0,0,0,Saturday,June,23,0.0,1.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,555,79,18,48,46-55,569,81,18,1,0,Night,Spring,0,0
2024-04-04 14:32:00,2023-04-05,1988-09-13,123.95008303906162,Books,2024,4,4,3,95,14,32,2,0,0,0,0,0,Thursday,April,14,-0.5000000000000001,-0.8660254037844386,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,365,52,11,36,36-45,270,38,8,0,1,Afternoon,Spring,0,1
2023-11-10 16:32:00,2021-11-13,1965-06-20,123.87410859435518,Clothing,2023,11,10,4,314,16,32,4,0,0,0,0,0,Friday,November,45,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,727,103,23,59,56-65,416,59,13,1,1,Afternoon,Fall,1,1
2023-01-22 14:54:00,2021-08-11,1962-01-17,174.70933990743953,Electronics,2023,1,22,6,22,14,54,1,1,0,0,0,0,Sunday,January,3,-0.5000000000000001,-0.8660254037844386,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,529,75,17,62,56-65,708,101,23,1,1,Afternoon,Winter,0,0
2023-09-10 01:13:00,2021-02-23,1971-07-01,147.66019810244833,Food,2023,9,10,6,253,1,13,3,1,0,0,0,0,Sunday,September,36,0.25881904510252074,0.9659258262890683,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,929,132,30,53,46-55,477,68,15,1,0,Night,Summer,0,0
2024-07-14 20:39:00,2022-05-11,1976-03-26,191.1269756492931,Books,2024,7,14,6,196,20,39,3,1,0,0,0,0,Sunday,July,28,-0.8660254037844386,0.5000000000000001,-0.5000000000000001,-0.8660254037844386,-0.7818314824680299,0.6234898018587334,795,113,26,48,46-55,169,24,5,0,0,Evening,Summer,0,0
2024-04-19 07:50:00,2022-10-02,1974-04-04,130.99224953795547,Clothing,2024,4,19,4,110,7,50,2,0,0,0,0,0,Friday,April,16,0.9659258262890683,-0.25881904510252085,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,565,80,18,50,46-55,255,36,8,0,0,Morning,Spring,0,1
2023-02-28 06:50:00,2022-08-21,1977-01-19,130.35541250918246,Food,2023,2,28,1,59,6,50,1,0,0,1,0,0,Tuesday,February,9,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,191,27,6,47,46-55,671,95,22,1,0,Night,Winter,0,1
2024-05-25 05:05:00,2022-09-10,1994-08-14,155.53693057636136,Clothing,2024,5,25,5,146,5,5,2,1,0,0,0,0,Saturday,May,21,0.9659258262890683,0.25881904510252074,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,623,89,20,30,26-35,219,31,7,0,0,Night,Spring,0,0
2024-11-12 02:06:00,2024-05-08,1992-02-23,126.6751517060319,Books,2024,11,12,1,317,2,6,4,0,0,0,0,0,Tuesday,November,46,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,188,26,6,32,26-35,48,6,1,0,0,Night,Fall,1,1
2024-04-20 18:07:00,2024-01-22,1963-08-27,124.97060777878285,Clothing,2024,4,20,5,111,18,7,2,1,0,0,0,0,Saturday,April,16,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,89,12,2,61,56-65,254,36,8,0,0,Afternoon,Spring,0,0
2024-11-30 09:51:00,2022-05-01,1988-03-06,197.503289354942,Clothing,2024,11,30,5,335,9,51,4,1,0,1,0,0,Saturday,November,48,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,944,134,31,36,36-45,30,4,0,0,1,Morning,Fall,1,0
2023-07-09 14:46:00,2022-11-11,1992-01-08,175.39535904093097,Clothing,2023,7,9,6,190,14,46,3,1,0,0,0,0,Sunday,July,27,-0.5000000000000001,-0.8660254037844386,-0.5000000000000001,-0.8660254037844386,-0.7818314824680299,0.6234898018587334,240,34,7,32,26-35,540,77,17,1,1,Afternoon,Summer,0,0
2024-11-17 00:51:00,2023-09-09,1978-05-01,88.20585037775032,Food,2024,11,17,6,322,0,51,4,1,0,0,0,0,Sunday,November,46,0.0,1.0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,435,62,14,46,46-55,43,6,1,0,0,Night,Fall,1,0
2024-07-16 06:26:00,2022-08-23,1964-11-16,52.4169502353411,Books,2024,7,16,1,198,6,26,3,0,0,0,0,0,Tuesday,July,29,1.0,6.123233995736766e-17,-0.5000000000000001,-0.8660254037844386,0.7818314824680298,0.6234898018587336,693,99,22,60,56-65,167,23,5,0,0,Night,Summer,0,1
2024-07-20 03:28:00,2022-12-27,1965-08-13,130.1106365973234,Books,2024,7,20,5,202,3,28,3,1,0,0,0,0,Saturday,July,29,0.7071067811865476,0.7071067811865476,-0.5000000000000001,-0.8660254037844386,-0.9749279121818236,-0.2225209339563146,571,81,18,59,56-65,163,23,5,0,0,Night,Summer,0,0
2023-09-01 05:56:00,2020-11-08,1994-03-12,112.4546195304613,Food,2023,9,1,4,244,5,56,3,0,1,0,0,0,Friday,September,35,0.9659258262890683,0.25881904510252074,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,1027,146,33,30,26-35,486,69,15,1,0,Night,Summer,0,1
2024-05-19 00:36:00,2021-10-06,1975-11-11,130.13760634998093,Food,2024,5,19,6,140,0,36,2,1,0,0,0,0,Sunday,May,20,0.0,1.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,956,136,31,49,46-55,225,32,7,0,0,Night,Spring,0,0
2023-05-11 22:32:00,2020-11-25,1969-09-20,82.26649787845874,Food,2023,5,11,3,131,22,32,2,0,0,0,0,0,Thursday,May,19,-0.5000000000000004,0.8660254037844384,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,897,128,29,55,46-55,599,85,19,1,0,Evening,Spring,0,1
2024-04-29 03:21:00,2024-03-12,1990-04-12,122.89782765624525,Electronics,2024,4,29,0,120,3,21,2,0,0,0,0,0,Monday,April,18,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,0.0,1.0,48,6,1,34,26-35,245,35,8,0,0,Night,Spring,0,1
2024-10-08 01:09:00,2023-07-05,1982-02-24,83.34963641650938,Clothing,2024,10,8,1,282,1,9,4,0,0,0,0,0,Tuesday,October,41,0.25881904510252074,0.9659258262890683,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,461,65,15,42,36-45,83,11,2,0,0,Night,Fall,0,1
2023-01-21 04:58:00,2020-12-13,1981-03-25,189.92421726103234,Clothing,2023,1,21,5,21,4,58,1,1,0,0,0,0,Saturday,January,3,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,769,109,25,43,36-45,709,101,23,1,0,Night,Winter,0,0
2023-06-16 09:32:00,2022-11-16,1996-08-07,154.95371219460404,Books,2023,6,16,4,167,9,32,2,0,0,0,0,0,Friday,June,24,0.7071067811865476,-0.7071067811865475,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,212,30,6,28,26-35,563,80,18,1,1,Morning,Spring,0,1
2023-10-01 21:37:00,2023-05-12,1973-08-23,150.65643961713954,Clothing,2023,10,1,6,274,21,37,4,1,1,0,1,0,Sunday,October,39,-0.7071067811865477,0.7071067811865474,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,142,20,4,51,46-55,456,65,14,1,0,Evening,Fall,0,0
2024-01-23 12:30:00,2022-08-31,1962-02-16,142.60384354974985,Electronics,2024,1,23,1,23,12,30,1,0,0,0,0,0,Tuesday,January,4,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,510,72,16,62,56-65,342,48,11,0,1,Morning,Winter,0,1
2024-08-23 14:35:00,2022-04-16,1978-03-18,138.51721363069146,Food,2024,8,23,4,236,14,35,3,0,0,0,0,0,Friday,August,34,-0.5000000000000001,-0.8660254037844386,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,860,122,28,46,46-55,129,18,4,0,1,Afternoon,Summer,0,1
2023-11-12 12:23:00,2021-09-11,1975-08-01,172.6300417212179,Books,2023,11,12,6,316,12,23,4,1,0,0,0,0,Sunday,November,45,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,792,113,26,49,46-55,414,59,13,1,1,Morning,Fall,1,0
2023-01-14 19:55:00,2021-08-27,1971-05-11,175.84903988916437,Books,2023,1,14,5,14,19,55,1,1,0,0,0,0,Saturday,January,2,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,505,72,16,53,46-55,716,102,23,1,0,Evening,Winter,0,0
2023-08-30 14:28:00,2021-06-29,1964-11-12,150.26706166171581,Clothing,2023,8,30,2,242,14,28,3,0,0,0,0,0,Wednesday,August,35,-0.5000000000000001,-0.8660254037844386,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,792,113,26,60,56-65,488,69,16,1,1,Afternoon,Summer,0,1
2023-12-12 07:04:00,2021-03-17,1976-06-01,101.42694307628798,Books,2023,12,12,1,346,7,4,4,0,0,0,0,0,Tuesday,December,50,0.9659258262890683,-0.25881904510252085,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,1000,142,32,48,46-55,384,54,12,1,0,Morning,Fall,1,1
2024-07-18 14:03:00,2021-09-03,1964-09-14,124.60645914962224,Food,2024,7,18,3,200,14,3,3,0,0,0,0,0,Thursday,July,29,-0.5000000000000001,-0.8660254037844386,-0.5000000000000001,-0.8660254037844386,0.43388373911755823,-0.900968867902419,1049,149,34,60,56-65,165,23,5,0,1,Afternoon,Summer,0,1
2023-12-06 11:44:00,2023-05-30,1964-06-24,160.27511467728496,Books,2023,12,6,2,340,11,44,4,0,0,0,0,0,Wednesday,December,49,0.258819045102521,-0.9659258262890682,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,190,27,6,60,56-65,390,55,12,1,1,Morning,Fall,1,1
2023-04-02 01:26:00,2022-01-27,1992-02-16,175.48858402352113,Food,2023,4,2,6,92,1,26,2,1,0,0,0,0,Sunday,April,13,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,430,61,14,32,26-35,638,91,20,1,0,Night,Spring,0,0
2024-01-02 18:50:00,2023-05-20,1978-06-05,86.6842494865199,Electronics,2024,1,2,1,2,18,50,1,0,0,0,0,0,Tuesday,January,1,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,227,32,7,46,46-55,363,51,11,0,0,Afternoon,Winter,0,1
2024-03-30 03:35:00,2022-05-11,1961-07-04,132.06719001670714,Electronics,2024,3,30,5,90,3,35,1,1,0,0,0,0,Saturday,March,13,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,689,98,22,63,56-65,275,39,9,0,0,Night,Winter,0,0
2024-03-03 10:26:00,2022-12-31,1992-04-22,185.0699898093346,Food,2024,3,3,6,63,10,26,1,1,0,0,0,0,Sunday,March,9,0.49999999999999994,-0.8660254037844387,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,428,61,14,32,26-35,302,43,9,0,1,Morning,Winter,0,0
2024-05-23 04:19:00,2024-02-06,1966-07-14,135.4407766976072,Clothing,2024,5,23,3,144,4,19,2,0,0,0,0,0,Thursday,May,21,0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,107,15,3,58,56-65,221,31,7,0,0,Night,Spring,0,1
2023-02-04 10:09:00,2022-09-04,1982-03-22,144.018686537702,Books,2023,2,4,5,35,10,9,1,1,0,0,0,0,Saturday,February,5,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,153,21,5,42,36-45,695,99,22,1,1,Morning,Winter,0,0
2023-07-25 07:37:00,2023-04-12,1988-08-20,69.25581539988616,Clothing,2023,7,25,1,206,7,37,3,0,0,0,0,0,Tuesday,July,30,0.9659258262890683,-0.25881904510252085,-0.5000000000000001,-0.8660254037844386,0.7818314824680298,0.6234898018587336,104,14,3,36,36-45,524,74,17,1,0,Morning,Summer,0,1
2023-03-22 05:07:00,2022-10-07,1988-08-18,84.38485276088235,Books,2023,3,22,2,81,5,7,1,0,0,0,0,0,Wednesday,March,12,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,166,23,5,36,36-45,649,92,21,1,0,Night,Winter,0,1
2024-07-15 22:46:00,2022-10-23,1969-09-25,89.72268783755342,Electronics,2024,7,15,0,197,22,46,3,0,0,0,0,0,Monday,July,29,-0.5000000000000004,0.8660254037844384,-0.5000000000000001,-0.8660254037844386,0.0,1.0,631,90,20,55,46-55,168,24,5,0,0,Evening,Summer,0,1
2024-01-23 13:42:00,2021-09-09,1967-10-10,67.03251592687455,Electronics,2024,1,23,1,23,13,42,1,0,0,0,0,0,Tuesday,January,4,-0.25881904510252035,-0.9659258262890684,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,866,123,28,57,56-65,342,48,11,0,1,Afternoon,Winter,0,1
2023-01-02 11:25:00,2021-07-22,1976-02-06,164.94585860745443,Electronics,2023,1,2,0,2,11,25,1,0,0,0,0,0,Monday,January,1,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,0.0,1.0,529,75,17,48,46-55,728,104,23,1,1,Morning,Winter,0,1
2024-01-25 12:39:00,2023-08-11,1964-12-09,116.09080225952664,Books,2024,1,25,3,25,12,39,1,0,0,0,0,0,Thursday,January,4,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,167,23,5,60,56-65,340,48,11,0,1,Morning,Winter,0,1
2024-07-19 17:24:00,2024-05-01,1964-02-26,111.59686427460086,Electronics,2024,7,19,4,201,17,24,3,0,0,0,0,0,Friday,July,29,-0.9659258262890683,-0.25881904510252063,-0.5000000000000001,-0.8660254037844386,-0.433883739117558,-0.9009688679024191,79,11,2,60,56-65,164,23,5,0,1,Afternoon,Summer,0,1
2023-04-16 00:46:00,2020-07-18,1979-09-17,198.6791261410625,Electronics,2023,4,16,6,106,0,46,2,1,0,0,0,0,Sunday,April,15,0.0,1.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1002,143,32,45,36-45,624,89,20,1,0,Night,Spring,0,0
2024-04-21 07:59:00,2023-07-13,1986-01-12,171.53380485371437,Electronics,2024,4,21,6,112,7,59,2,1,0,0,0,0,Sunday,April,16,0.9659258262890683,-0.25881904510252085,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,283,40,9,38,36-45,253,36,8,0,0,Morning,Spring,0,0
2024-12-03 10:11:00,2022-11-25,1966-11-03,139.93734367999954,Electronics,2024,12,3,1,338,10,11,4,0,0,0,0,0,Tuesday,December,49,0.49999999999999994,-0.8660254037844387,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,739,105,24,58,56-65,27,3,0,0,1,Morning,Fall,1,1
2024-02-06 11:35:00,2022-06-24,1969-02-25,124.93823535924466,Clothing,2024,2,6,1,37,11,35,1,0,0,0,0,0,Tuesday,February,6,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,592,84,19,55,46-55,328,46,10,0,1,Morning,Winter,0,1
2024-12-30 15:03:00,2022-11-05,1994-02-24,154.74788602870564,Electronics,2024,12,30,0,365,15,3,4,0,0,0,0,0,Monday,December,1,-0.7071067811865475,-0.7071067811865477,-2.4492935982947064e-16,1.0,0.0,1.0,786,112,25,30,26-35,0,0,0,0,1,Afternoon,Fall,1,1
2024-07-09 04:55:00,2022-12-11,1969-06-22,143.45052570787828,Electronics,2024,7,9,1,191,4,55,3,0,0,0,0,0,Tuesday,July,28,0.8660254037844386,0.5000000000000001,-0.5000000000000001,-0.8660254037844386,0.7818314824680298,0.6234898018587336,576,82,18,55,46-55,174,24,5,0,0,Night,Summer,0,1
2023-06-11 04:07:00,2020-11-02,1985-11-23,144.9772739494922,Clothing,2023,6,11,6,162,4,7,2,1,0,0,0,0,Sunday,June,23,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,951,135,31,39,36-45,568,81,18,1,0,Night,Spring,0,0
2023-07-21 09:48:00,2021-11-18,1998-11-15,76.7382137442537,Clothing,2023,7,21,4,202,9,48,3,0,0,0,0,0,Friday,July,29,0.7071067811865476,-0.7071067811865475,-0.5000000000000001,-0.8660254037844386,-0.433883739117558,-0.9009688679024191,610,87,20,26,26-35,528,75,17,1,1,Morning,Summer,0,1
2023-09-27 08:53:00,2023-07-11,1997-04-27,43.68327679584113,Books,2023,9,27,2,270,8,53,3,0,0,0,0,0,Wednesday,September,39,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,78,11,2,27,26-35,460,65,15,1,0,Morning,Summer,0,1
